Glinda_Actress,Start,End,Return?,Birthday,Age,School,Degree
Kristin Chenoweth,10/30/2003,7/20/2004,,7/24/1968,35,,
Jennifer Laura Thompson,7/20/2004,5/31/2005,,12/5/1969,34,,
Megan Hilty,5/31/2005,5/30/2006,,3/29/1981,24,,
Kate Reinders,5/30/2006,1/9/2007,,12/10/1980,25,,
Kendra Kassebaum,1/9/2007,10/9/2007,,5/12/1973,33,,
Annaleigh Ashford,10/9/2007,5/13/2008,,6/25/1985,22,,
Kendra Kassebaum,5/13/2008,11/11/2008,x,5/12/1973,35,,
Alli Mauzey,11/11/2008,8/11/2009,,1/25/1980,28,,
Erin Mackey,8/11/2009,1/14/2010,,6/19/1986,23,,
Katie Rose Clarke,1/14/2010,3/25/2011,,8/25/1984,25,,
Laura Woyasz,3/25/2011,4/26/2011,,4/18/1976,34,,
Katie Rose Clarke,4/26/2011,9/27/2011,,8/25/1984,26,,
Chandra Lee Schwartz,9/27/2011,10/16/2012,x,8/18/1981,30,,
Alli Mauzey,10/16/2012,4/23/2013,x,1/25/1980,32,,
Katie Rose Clarke,4/23/2013,9/24/2013,,8/25/1984,28,,
Alli Mauzey,9/24/2013,2/25/2014,,1/25/1980,33,,
Jenni Barber,2/25/2014,11/25/2014,,7/22/1983,30,,
Tiffany Haas,11/25/2014,12/16/2014,,2/17/1982,32,,
Kara Lindsay,12/16/2014,2/2/2016,,2/16/1985,29,,
Carrie St. Louis,2/2/2016,11/1/2016,,11/24/1989,26,,
Kara Lindsay,11/1/2016,7/31/2017,x,2/16/1985,31,,
Amanda Jane Cooper,7/31/2017,12/11/2018,,6/15/1988,29,,
Katie Rose Clarke,12/11/2018,4/9/2019,,8/25/1984,34,,
Ginna Claire Mason,4/9/2019,3/12/2020,,5/6/1990,28,,
Lockdown,3/12/2020,9/14/2021,,NA,NA,,
Ginna Claire Mason,9/14/2021,2/1/2022,,5/6/1990,31,,
Amanda Jane Cooper,2/1/2022,2/13/2022,x,6/15/1988,33,,
Brittney Johnson,2/13/2022,2/13/2023,,12/23/1989,32,,
McKenzie Kurtz,2/13/2023,6/19/2023,,1/13/1997,26,,
Allie Trimm,6/19/2023,6/26/2023,,10/27/1994,28,,
McKenzie Kurtz,6/26/2023,10/29/2023,x,1/13/1997,26,,
,,,6/20,,29.4,,